Trial,Shape,Size,Response,ResponseTime,Time
1,Octagon, 1, 0, 00:00:03.3239630, 12_08_36
2,Pentagon, 1.075, 1, 00:00:04.4669490, 12_08_41
3,Square, 0.975, 0, 00:00:01.9988360, 12_08_43
4,Octagon, 0.925, 0, 00:00:01.1278800, 12_08_45
5,Triangle, 1.075, 0, 00:00:00.2052650, 12_08_48
6,Square, 0.95, 0, 00:00:00.9184880, 12_08_52
7,Pentagon, 1, 0, 00:00:01.2105250, 12_08_56
8,Pentagon, 1.025, 0, 00:00:00.6541080, 12_08_59
9,Quaterfoil-Separated, 1.075, 0, 00:00:00.8296610, 12_09_03
10,Star-Separated, 1.025, 1, 00:00:05.9963130, 12_09_11
11,Pentagon, 1.05, 0, 00:00:02.2559210, 12_09_14
12,Square, 1.05, 0, 00:00:01.3787820, 12_09_16
13,Pentagon, 0.95, 0, 00:00:01.7557930, 12_09_20
14,Triangle, 1, 1, 00:00:02.3124730, 12_09_24
15,Quaterfoil-Separated, 1, 0, 00:00:01.4476630, 12_09_27
16,Star-Separated, 1.05, 0, 00:00:02.8935950, 12_09_32
17,Star-Separated, 1.075, 0, 00:00:01.1550190, 12_09_34
18,Octagon, 0.975, 0, 00:00:02.4378340, 12_09_38
19,Quaterfoil-Separated, 0.975, 0, 00:00:02.0880030, 12_09_42
20,Triangle, 0.975, 0, 00:00:01.9085720, 12_09_45
