Trial,Shape,Size,Response,ResponseTime,Time
1,Triangle, 1, 1, 00:00:03.4941710, 14_43_16
2,Octagon, 1, 1, 00:00:00.4152860, 14_43_16
3,Square, 1, 0, 00:00:00.8772200, 14_43_20
4,Triangle, 1, 1, 00:00:03.7192650, 14_43_27
5,Octagon, 1, 0, 00:00:07.2090010, 14_43_34
6,Quaterfoil-Separated, 1, 1, 00:00:00.0184970, 14_43_34
7,Quaterfoil-Separated, 1, 1, 00:00:00.7901210, 14_43_38
8,Triangle, 1, 1, 00:00:00.2071140, 14_43_41
9,Square, 1, 1, 00:00:00.6210200, 14_43_45
10,Triangle, 1, 1, 00:00:00.0528140, 14_43_48
11,Pentagon, 1, 1, 00:00:00.5257120, 14_43_52
12,Square, 1, 1, 00:00:00.8213880, 14_43_56
13,Star-Separated, 1, 1, 00:00:00.4249220, 14_43_59
14,Octagon, 1, 1, 00:00:00.6539800, 14_44_03
15,Star-Separated, 1, 1, 00:00:00.8073500, 14_44_06
16,Quaterfoil-Separated, 1, 1, 00:00:00.3001450, 14_44_10
17,Triangle, 1, 1, 00:00:00.5122190, 14_44_13
18,Pentagon, 1, 1, 00:00:00.4382720, 14_44_17
19,Triangle, 1, 1, 00:00:00.3456130, 14_44_20
20,Pentagon, 1, 1, 00:00:00.7247740, 14_44_24
21,Octagon, 1, 1, 00:00:00.1412430, 14_44_27
22,Octagon, 1, 1, 00:00:00.3449000, 14_44_31
23,Pentagon, 1, 1, 00:00:00.1920420, 14_44_34
24,Square, 1, 1, 00:00:01.1544950, 14_44_39
25,Octagon, 1, 1, 00:00:00.2711060, 14_44_41
26,Star-Separated, 1, 0, 00:00:00.1227970, 14_44_45
27,Square, 1, 0, 00:00:00.2860280, 14_44_48
28,Triangle, 1, 1, 00:00:00.1934390, 14_44_52
29,Star-Separated, 1, 1, 00:00:00.1215770, 14_44_55
30,Octagon, 1, 1, 00:00:00.0517220, 14_44_59
31,Quaterfoil-Separated, 1, 1, 00:00:00.1629310, 14_45_02
32,Quaterfoil-Separated, 1, 1, 00:00:00.0176970, 14_45_06
33,Star-Separated, 1, 1, 00:00:00.1100460, 14_45_09
34,Star-Separated, 1, 1, 00:00:00.0294750, 14_45_13
35,Square, 1, 1, 00:00:00.1502580, 14_45_16
36,Square, 1, 1, 00:00:00.0164070, 14_45_20
37,Quaterfoil-Separated, 1, 1, 00:00:00.0826900, 14_45_23
38,Pentagon, 1, 0, 00:00:00.0954870, 14_45_27
39,Pentagon, 1, 1, 00:00:00.0813610, 14_45_30
40,Star-Separated, 1, 1, 00:00:00.0958540, 14_45_34
41,Pentagon, 1, 1, 00:00:00.0773340, 14_45_37
42,Quaterfoil-Separated, 1, 0, 00:00:00.1088430, 14_45_41
