Shape,Size,Response
Octagon, 1.2, Larger
Quaterfoil-Separated, 1, Smaller
Triangle, 1, Larger
Quaterfoil-Separated, 1.2, Larger
Star-Separated, 1, Smaller
Hexagon, 0.8, Smaller
Square, 1.3, Larger
Pentagon, 0.7, Smaller
Star-Separated, 1.3, Larger
Triangle, 0.9, Smaller
Triangle, 0.8, Smaller
Quaterfoil-Separated, 1.1, Larger
Square, 0.7, Smaller
Star-Separated, 0.9, Smaller
Quaterfoil-Separated, 0.9, Smaller
Triangle, 1.1, Larger
Quaterfoil-Separated, 0.7, Smaller
Octagon, 0.7, Smaller
Pentagon, 1.2, Larger
Star-Separated, 0.7, Smaller
Star-Separated, 0.8, Smaller
Octagon, 0.8, Smaller
Pentagon, 1, Larger
Pentagon, 1.1, Larger
Octagon, 1.3, Larger
Square, 0.8, Smaller
Triangle, 1.3, Larger
Triangle, 0.7, Smaller
Hexagon, 1.2, Larger
Star-Separated, 1.2, Larger
Hexagon, 1, Larger
Triangle, 1.2, Larger
Pentagon, 0.8, Smaller
Octagon, 0.9, Smaller
Pentagon, 1.3, Larger
Square, 1, Larger
Square, 1.2, Larger
Hexagon, 0.9, Smaller
Quaterfoil-Separated, 1.3, Larger
Octagon, 1.1, Smaller
Hexagon, 1.3, Larger
Square, 1.1, Larger
Quaterfoil-Separated, 0.8, Smaller
Square, 0.9, Smaller
Star-Separated, 1.1, Smaller
Octagon, 1, Smaller
Pentagon, 0.9, Larger
Hexagon, 0.7, Smaller
Hexagon, 1.1, Larger
