Trial,Shape,Size,Response
1,Quaterfoil-Separated, 0.95, 0
2,Octagon, 0.95, 0
3,Triangle, 0.9, 0
4,Triangle, 1.025, 1
5,Octagon, 0.975, 0
6,Triangle, 1.05, 1
7,Pentagon, 1, 0
8,Square, 1, 1
9,Star-Separated, 1.075, 1
10,Hexagon, 0.95, 0
11,Square, 0.975, 0
12,Hexagon, 1, 1
13,Quaterfoil-Separated, 1.075, 0
14,Quaterfoil-Separated, 0.925, 0
15,Star-Separated, 1.025, 0
16,Square, 0.875, 0
17,Quaterfoil-Separated, 1.1, 1
18,Pentagon, 0.9, 0
19,Triangle, 1, 1
20,Triangle, 1.1, 1
21,Quaterfoil-Separated, 1, 0
22,Triangle, 1.075, 1
23,Square, 1.025, 1
24,Triangle, 0.875, 0
25,Star-Separated, 1.1, 0
26,Octagon, 1.1, 0
27,Star-Separated, 0.875, 0
28,Octagon, 0.9, 0
29,Pentagon, 0.875, 0
30,Triangle, 1.125, 1
31,Pentagon, 0.95, 1
32,Quaterfoil-Separated, 1.125, 0
33,Pentagon, 1.025, 0
34,Star-Separated, 1.05, 0
35,Octagon, 0.925, 0
36,Triangle, 0.925, 0
37,Octagon, 1.05, 0
38,Octagon, 1.075, 0
39,Star-Separated, 1.125, 0
40,Star-Separated, 0.9, 0
41,Star-Separated, 0.95, 0
42,Square, 1.05, 0
43,Octagon, 1.125, 0
44,Pentagon, 1.075, 1
45,Triangle, 0.95, 1
46,Octagon, 0.875, 1
47,Pentagon, 1.05, 1
48,Quaterfoil-Separated, 0.975, 1
49,Hexagon, 1.075, 1
50,Quaterfoil-Separated, 0.9, 0
51,Square, 0.95, 1
52,Hexagon, 0.975, 0
53,Hexagon, 1.05, 1
54,Hexagon, 0.875, 0
55,Pentagon, 1.1, 0
56,Square, 1.125, 1
57,Quaterfoil-Separated, 1.05, 0
58,Pentagon, 0.925, 1
59,Star-Separated, 1, 0
60,Hexagon, 0.925, 0
61,Octagon, 1, 0
62,Star-Separated, 0.925, 1
63,Hexagon, 0.9, 0
64,Star-Separated, 0.975, 0
65,Quaterfoil-Separated, 1.025, 0
66,Square, 1.075, 1
67,Hexagon, 1.125, 1
68,Square, 0.925, 1
69,Square, 0.9, 1
70,Quaterfoil-Separated, 0.875, 0
71,Hexagon, 1.1, 1
72,Hexagon, 1.025, 1
73,Pentagon, 0.975, 0
74,Octagon, 1.025, 0
75,Pentagon, 1.125, 1
76,Triangle, 0.975, 0
77,Square, 1.1, 1
