Object,Owner,Time,XPos,Ypos,ZPos,XRot,YRot,ZRot,Status
Square (1),0,14:01:34.6625760,1.369342,-0.6099573,2.942905,357.611,355.5421,345.5748,Square (1)
Square (1),0,14:01:34.7748440,1.373657,-0.6162086,2.979548,347.3823,354.9419,342.9032,Square (1)
Square (1),0,14:01:34.9008630,1.386358,-0.6330444,3.007222,352.0623,350.3441,352.2168,Square (1)
Square (1),0,14:01:35.0184730,1.38651,-0.6504672,3.019533,357.6279,341.5553,1.895856,Square (1)
Square (1),0,14:01:35.1364660,1.386718,-0.644746,3.025801,347.8296,348.5911,357.268,Square (1)
Square (1),0,14:01:35.2613170,1.382956,-0.6530842,3.027111,353.8246,346.3251,1.617855,Square (1)
Square (1),0,14:01:35.3733860,1.390007,-0.6615685,3.024823,356.0899,348.7879,4.490798,Square (1)
Square (1),0,14:01:35.4991360,1.388115,-0.6595613,3.022865,353.1353,348.1003,1.616543,Square (1)
Square (1),0,14:01:35.6092340,1.388212,-0.6619455,3.020539,353.6758,350.6526,2.185869,Square (1)
Square (1),0,14:01:35.7387520,1.38766,-0.6678801,3.019936,355.513,351.6726,1.936565,Square (1)
Square (1),0,14:01:35.8507630,1.38565,-0.6664556,3.018923,355.4456,351.0859,1.526969,Square (1)
Square (1),0,14:01:35.9770450,1.385276,-0.6613772,3.017153,355.3051,351.6014,1.985549,Square (1)
Square (1),0,14:01:36.1026730,1.383574,-0.649725,3.011455,355.1406,353.744,1.583843,Square (1)
Square (1),0,14:01:36.2198990,1.380098,-0.6092744,3.000255,351.7677,354.9394,355.0615,Square (1)
Square (1),0,14:01:36.3380780,1.379664,-0.5791976,2.996856,348.3832,355.5121,340.492,Square (1)
Square (1),0,14:01:36.4568050,1.363439,-0.5665879,2.99191,338.1173,353.2224,319.397,Square (1)
Square (1),0,14:01:36.5761830,1.377416,-0.5636686,2.982326,334.2684,357.4913,315.413,Square (1)
Square (1),0,14:01:36.6909830,1.391783,-0.5667116,2.968112,335.3372,353.1248,330.256,Square (1)
