Bone,Time,XPos,YPos,ZPos,XRot,YRot,ZRot

Left Controller,12:08:30.2235450,1.091701,-0.809208,3.080561,7.323526,86.1124,5.530061
Right Controller,12:08:30.2236180,1.096008,-0.7857831,2.785792,355.3145,96.54772,353.7478
Left Controller,12:08:30.2295560,1.091523,-0.8089919,3.080602,7.260456,86.09972,5.570088
Right Controller,12:08:30.2296860,1.095983,-0.7858022,2.78584,355.3318,96.54836,353.7704
Left Controller,12:08:30.2374730,1.091523,-0.8089919,3.080602,7.260456,86.09972,5.570088
Right Controller,12:08:30.2375440,1.095983,-0.7858022,2.78584,355.3318,96.54836,353.7704
Left Controller,12:08:30.2423010,1.091522,-0.8089778,3.080596,7.253375,86.09432,5.560814
Right Controller,12:08:30.2424050,1.095974,-0.7858084,2.785842,355.3346,96.54921,353.7767
Left Controller,12:08:30.2523290,1.091522,-0.8089778,3.080596,7.253375,86.09432,5.560814
Right Controller,12:08:30.2523980,1.095974,-0.7858084,2.785842,355.3346,96.54921,353.7767
Left Controller,12:08:30.2566750,1.091529,-0.8089665,3.080602,7.25263,86.09202,5.567598
Right Controller,12:08:30.2568680,1.09596,-0.7858016,2.785857,355.3311,96.54567,353.7876
Left Controller,12:08:30.2669750,1.091529,-0.8089665,3.080602,7.25263,86.09202,5.567598
Right Controller,12:08:30.2670570,1.09596,-0.7858016,2.785857,355.3311,96.54567,353.7876
Left Controller,12:08:30.2716840,1.091532,-0.8089629,3.080622,7.255866,86.09157,5.586787
Right Controller,12:08:30.2717900,1.09594,-0.7857844,2.785881,355.3244,96.53662,353.7936
Left Controller,12:08:30.2808930,1.091532,-0.8089629,3.080622,7.255866,86.09157,5.586787
Right Controller,12:08:30.2809650,1.09594,-0.7857844,2.785881,355.3244,96.53662,353.7936
Left Controller,12:08:30.2850730,1.091534,-0.808965,3.080642,7.259905,86.08813,5.599689
Right Controller,12:08:30.2851740,1.095925,-0.7857764,2.785893,355.3218,96.53232,353.7959
Left Controller,12:08:30.2947570,1.091534,-0.808965,3.080642,7.259905,86.08813,5.599689
Right Controller,12:08:30.2948240,1.095925,-0.7857764,2.785893,355.3218,96.53232,353.7959
Left Controller,12:08:30.2991680,1.091529,-0.8089834,3.080651,7.270679,86.0843,5.61313
Right Controller,12:08:30.2993700,1.095925,-0.7857844,2.785884,355.3258,96.5378,353.7991
Left Controller,12:08:30.3088200,1.091529,-0.8089834,3.080651,7.270679,86.0843,5.61313
Right Controller,12:08:30.3089050,1.095925,-0.7857844,2.785884,355.3258,96.5378,353.7991
Left Controller,12:08:30.3128620,1.091522,-0.8090074,3.080655,7.285084,86.09184,5.630375
Right Controller,12:08:30.3129700,1.095937,-0.7858033,2.785856,355.3354,96.55202,353.8039
Left Controller,12:08:30.3227750,1.091522,-0.8090074,3.080655,7.285084,86.09184,5.630375
Right Controller,12:08:30.3228530,1.095937,-0.7858033,2.785856,355.3354,96.55202,353.8039
Left Controller,12:08:30.3259500,1.091507,-0.8090195,3.080649,7.298878,86.10194,5.65015
Right Controller,12:08:30.3260450,1.095953,-0.7858241,2.78581,355.3482,96.56767,353.7966
Left Controller,12:08:30.3370190,1.091507,-0.8090195,3.080649,7.298878,86.10194,5.65015
Right Controller,12:08:30.3370920,1.095953,-0.7858241,2.78581,355.3482,96.56767,353.7966
Left Controller,12:08:30.3417200,1.09149,-0.8090054,3.080638,7.298513,86.11018,5.663201
Right Controller,12:08:30.3418300,1.095946,-0.7858191,2.785772,355.3511,96.5775,353.7841
Left Controller,12:08:30.3510140,1.09149,-0.8090054,3.080638,7.298513,86.11018,5.663201
Right Controller,12:08:30.3510930,1.095946,-0.7858191,2.785772,355.3511,96.5775,353.7841
Left Controller,12:08:30.3549770,1.091479,-0.8089995,3.08063,7.30135,86.11602,5.670187
Right Controller,12:08:30.3550960,1.095922,-0.7857915,2.785736,355.3427,96.58636,353.7774
Left Controller,12:08:30.3652100,1.091479,-0.8089995,3.08063,7.30135,86.11602,5.670187
Right Controller,12:08:30.3652920,1.095922,-0.7857915,2.785736,355.3427,96.58636,353.7774
Left Controller,12:08:30.3698540,1.091465,-0.8089862,3.080621,7.297091,86.13712,5.701706
Right Controller,12:08:30.3699530,1.095882,-0.7857668,2.785726,355.3316,96.59154,353.7762
Left Controller,12:08:30.3791770,1.091465,-0.8089862,3.080621,7.297091,86.13712,5.701706
Right Controller,12:08:30.3792440,1.095882,-0.7857668,2.785726,355.3316,96.59154,353.7762
Left Controller,12:08:30.3856780,1.091443,-0.8089571,3.080609,7.281938,86.14873,5.714049
Right Controller,12:08:30.3857750,1.095838,-0.7857419,2.785724,355.3181,96.59435,353.7797
Left Controller,12:08:30.3932310,1.091443,-0.8089571,3.080609,7.281938,86.14873,5.714049
Right Controller,12:08:30.3933050,1.095838,-0.7857419,2.785724,355.3181,96.59435,353.7797
Left Controller,12:08:30.3973740,1.091418,-0.8089179,3.08059,7.26658,86.15244,5.709672
Right Controller,12:08:30.3974750,1.095806,-0.7857238,2.785727,355.3076,96.5974,353.7848
Left Controller,12:08:30.4069680,1.091418,-0.8089179,3.08059,7.26658,86.15244,5.709672
